"Step","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MAX"
"236","575.125","575.125","575.125","321.14285714285717","321.14285714285717","321.14285714285717","367.1666666666667","367.1666666666667","367.1666666666667","421.44444444444446","421.44444444444446","421.44444444444446"
"240","428.27272727272725","428.27272727272725","428.27272727272725","318.1","318.1","318.1","506.875","506.875","506.875","427.55555555555554","427.55555555555554","427.55555555555554"
"244","417.6363636363636","417.6363636363636","417.6363636363636","468","468","468","486.7","486.7","486.7","520.9090909090909","520.9090909090909","520.9090909090909"
"248","419.3333333333333","419.3333333333333","419.3333333333333","422.375","422.375","422.375","444","444","444","577","577","577"
"252","606.5","606.5","606.5","568","568","568","394.57142857142856","394.57142857142856","394.57142857142856","362","362","362"
"256","478.6666666666667","478.6666666666667","478.6666666666667","287.625","287.625","287.625","441.875","441.875","441.875","416.5","416.5","416.5"
"260","570","570","570","433.2","433.2","433.2","565.125","565.125","565.125","504.375","504.375","504.375"
"264","428.46153846153845","428.46153846153845","428.46153846153845","504.73333333333335","504.73333333333335","504.73333333333335","359.4","359.4","359.4","398.77777777777777","398.77777777777777","398.77777777777777"
"268","397.3333333333333","397.3333333333333","397.3333333333333","463.3636363636364","463.3636363636364","463.3636363636364","792.9","792.9","792.9","571.4444444444445","571.4444444444445","571.4444444444445"
"272","466.7","466.7","466.7","431.5625","431.5625","431.5625","413.25","413.25","413.25","568.7777777777778","568.7777777777778","568.7777777777778"
"276","586.7272727272727","586.7272727272727","586.7272727272727","591.8","591.8","591.8","403","403","403","422.3","422.3","422.3"
"280","424.125","424.125","424.125","587.375","587.375","587.375","481.75","481.75","481.75","399.1111111111111","399.1111111111111","399.1111111111111"
"284","452.8888888888889","452.8888888888889","452.8888888888889","443.1818181818182","443.1818181818182","443.1818181818182","436","436","436","361.44444444444446","361.44444444444446","361.44444444444446"
"288","475.61538461538464","475.61538461538464","475.61538461538464","480","480","480","440.5","440.5","440.5","526.5555555555555","526.5555555555555","526.5555555555555"
"292","427.9","427.9","427.9","541.8","541.8","541.8","361.22222222222223","361.22222222222223","361.22222222222223","471.45454545454544","471.45454545454544","471.45454545454544"
"296","436.3","436.3","436.3","781.25","781.25","781.25","481.7","481.7","481.7","413.2","413.2","413.2"
"300","700","700","700","483.1111111111111","483.1111111111111","483.1111111111111","470.8888888888889","470.8888888888889","470.8888888888889","470.72727272727275","470.72727272727275","470.72727272727275"
"304","481.2","481.2","481.2","398.1","398.1","398.1","457.25","457.25","457.25","377.54545454545456","377.54545454545456","377.54545454545456"
"308","522.2","522.2","522.2","488.7","488.7","488.7","450","450","450","352.22222222222223","352.22222222222223","352.22222222222223"
"312","512.7272727272727","512.7272727272727","512.7272727272727","451.77777777777777","451.77777777777777","451.77777777777777","452.875","452.875","452.875","337.6666666666667","337.6666666666667","337.6666666666667"
"316","465.6","465.6","465.6","327.5","327.5","327.5","393.42857142857144","393.42857142857144","393.42857142857144","441","441","441"
"320","538.8461538461538","538.8461538461538","538.8461538461538","526.5384615384615","526.5384615384615","526.5384615384615","432","432","432","437.09090909090907","437.09090909090907","437.09090909090907"
"324","503.3333333333333","503.3333333333333","503.3333333333333","548.5","548.5","548.5","391","391","391","466","466","466"
"328","393.5","393.5","393.5","457.4166666666667","457.4166666666667","457.4166666666667","513.375","513.375","513.375","378.3333333333333","378.3333333333333","378.3333333333333"
"332","384.8181818181818","384.8181818181818","384.8181818181818","459.3636363636364","459.3636363636364","459.3636363636364","440.875","440.875","440.875","455.1111111111111","455.1111111111111","455.1111111111111"
"336","509.92857142857144","509.92857142857144","509.92857142857144","345.8181818181818","345.8181818181818","345.8181818181818","377.85714285714283","377.85714285714283","377.85714285714283","583.875","583.875","583.875"
"340","357.3","357.3","357.3","341.09090909090907","341.09090909090907","341.09090909090907","474.27272727272725","474.27272727272725","474.27272727272725","640.4166666666666","640.4166666666666","640.4166666666666"
"344","436.84615384615387","436.84615384615387","436.84615384615387","367.42857142857144","367.42857142857144","367.42857142857144","447.6666666666667","447.6666666666667","447.6666666666667","405.1666666666667","405.1666666666667","405.1666666666667"
"348","476.6666666666667","476.6666666666667","476.6666666666667","335.6923076923077","335.6923076923077","335.6923076923077","357.375","357.375","357.375","557.7272727272727","557.7272727272727","557.7272727272727"
"352","478.3636363636364","478.3636363636364","478.3636363636364","381.0833333333333","381.0833333333333","381.0833333333333","487","487","487","498.9","498.9","498.9"
"356","393","393","393","534.2857142857143","534.2857142857143","534.2857142857143","633.9166666666666","633.9166666666666","633.9166666666666","522.3636363636364","522.3636363636364","522.3636363636364"
