"Step","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/AMC23__MAX"
"700","0.3","0.3","0.3","0.375","0.375","0.375","","","","","",""
"704","0.3","0.3","0.3","0.425","0.425","0.425","","","","","",""
"708","0.275","0.275","0.275","0.425","0.425","0.425","","","","","",""
"712","0.35","0.35","0.35","0.45","0.45","0.45","","","","","",""
"716","0.275","0.275","0.275","0.425","0.425","0.425","","","","","",""
"720","0.35","0.35","0.35","0.35","0.35","0.35","","","","","",""
"724","0.375","0.375","0.375","0.375","0.375","0.375","","","","","",""
"728","0.275","0.275","0.275","0.3","0.3","0.3","","","","","",""
"732","0.3","0.3","0.3","0.375","0.375","0.375","","","","","",""
"736","0.325","0.325","0.325","0.35","0.35","0.35","","","","","",""
"740","0.325","0.325","0.325","0.3","0.3","0.3","","","","","",""
"744","0.325","0.325","0.325","0.375","0.375","0.375","","","","","",""
"748","0.275","0.275","0.275","0.375","0.375","0.375","","","","","",""
"752","0.25","0.25","0.25","0.325","0.325","0.325","","","","","",""
"756","0.3","0.3","0.3","0.3","0.3","0.3","","","","","",""
"760","0.275","0.275","0.275","0.325","0.325","0.325","","","","","",""
"764","0.325","0.325","0.325","0.35","0.35","0.35","","","","","",""
"768","0.35","0.35","0.35","0.3","0.3","0.3","","","","","",""
"772","0.3","0.3","0.3","0.3","0.3","0.3","","","","","",""
"776","0.25","0.25","0.25","0.275","0.275","0.275","","","","","",""
"780","0.25","0.25","0.25","0.4","0.4","0.4","","","","","",""
"784","0.3","0.3","0.3","0.375","0.375","0.375","","","","","",""
"788","0.3","0.3","0.3","0.4","0.4","0.4","","","","","",""
"792","0.35","0.35","0.35","0.45","0.45","0.45","","","","","",""
"796","0.3","0.3","0.3","0.375","0.375","0.375","","","","","",""
"800","0.3","0.3","0.3","0.375","0.375","0.375","","","","","",""
"804","0.3","0.3","0.3","0.35","0.35","0.35","","","","","",""
"808","0.3","0.3","0.3","0.275","0.275","0.275","","","","","",""
"812","0.275","0.275","0.275","0.225","0.225","0.225","","","","","",""
"816","0.3","0.3","0.3","0.35","0.35","0.35","","","","","",""
"820","0.325","0.325","0.325","0.375","0.375","0.375","","","","","",""
"824","0.25","0.25","0.25","0.25","0.25","0.25","","","","","",""
"828","0.35","0.35","0.35","0.225","0.225","0.225","","","","","",""
"832","0.35","0.35","0.35","0.275","0.275","0.275","","","","","",""
"836","0.3","0.3","0.3","","","","","","","","",""
"840","0.35","0.35","0.35","","","","","","","","",""
"844","0.25","0.25","0.25","","","","","","","","",""
"848","0.375","0.375","0.375","","","","","","","","",""
"852","0.375","0.375","0.375","","","","","","","","",""
